participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,baseline,"pen,pen","pen,touch",pen,2,4,0,613,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,2,5,0,573,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,2,6,0,574,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,2,7,0,617,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,1,0,595,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,2,0,590,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,3,0,637,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,4,0,695,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,5,0,684,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,6,0,630,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,1,7,0,675,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,1,1,236,0,1,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,2,1,629,0,1,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,3,0,602,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,4,0,670,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,5,0,644,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,6,0,654,0,0,pen
10,baseline,"pen,pen","trackpad,pen",pen,2,7,0,770,0,0,pen
10,baseline,"touch,touch","pen,touch",touch,1,1,0,709,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,1,2,0,718,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,1,3,0,661,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,1,4,0,633,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,1,5,0,783,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,1,6,0,806,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,1,7,0,908,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,1,0,644,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,2,0,732,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,3,0,725,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,4,0,799,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,5,0,1133,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,6,0,654,0,0,touch
10,baseline,"touch,touch","pen,touch",touch,2,7,0,942,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,1,1,0,1093,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,1,2,0,782,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,1,3,0,724,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,1,4,0,857,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,1,5,0,633,0,0,touch
