"","participantNo","mode","forCond","mST"
"1",1,"mouse","mouse,pen",3320.75
"2",1,"mouse","mouse,touch",3447.625
"3",1,"mouse","mouse,trackpad",2914.875
"4",1,"pen","trackpad,pen",1999.125
"5",1,"pen","mouse,pen",2275.875
"6",1,"pen","pen,touch",2317
"7",1,"touch","pen,touch",2533.25
"8",1,"touch","mouse,touch",2861.25
"9",1,"touch","trackpad,touch",2464.125
"10",1,"trackpad","trackpad,pen",3652.75
"11",1,"trackpad","trackpad,touch",3934.375
"12",1,"trackpad","mouse,trackpad",3605.875
"13",2,"mouse","mouse,pen",2469.75
"14",2,"mouse","mouse,touch",2221.5
"15",2,"mouse","mouse,trackpad",2690.75
"16",2,"pen","trackpad,pen",1877
"17",2,"pen","mouse,pen",2083.5
"18",2,"pen","pen,touch",2116
"19",2,"touch","pen,touch",2408
"20",2,"touch","trackpad,touch",3662.5
"21",2,"touch","mouse,touch",2011.875
"22",2,"trackpad","trackpad,pen",3221
"23",2,"trackpad","trackpad,touch",3248.5
"24",2,"trackpad","mouse,trackpad",3482.625
"25",3,"mouse","mouse,pen",2741.25
"26",3,"mouse","mouse,touch",2519
"27",3,"mouse","mouse,trackpad",3005.875
"28",3,"pen","trackpad,pen",2319.25
"29",3,"pen","mouse,pen",3605.5
"30",3,"pen","pen,touch",2300.75
"31",3,"touch","mouse,touch",2273.875
"32",3,"touch","pen,touch",2594.875
"33",3,"touch","trackpad,touch",4073
"34",3,"trackpad","trackpad,pen",3455.5
"35",3,"trackpad","trackpad,touch",4209.375
"36",3,"trackpad","mouse,trackpad",3658.875
"37",4,"mouse","mouse,pen",2111.625
"38",4,"mouse","mouse,touch",2065.375
"39",4,"mouse","mouse,trackpad",2143
"40",4,"pen","trackpad,pen",1416.625
"41",4,"pen","mouse,pen",1659.5
"42",4,"pen","pen,touch",1650
"43",4,"touch","pen,touch",1670
"44",4,"touch","trackpad,touch",1545.625
"45",4,"touch","mouse,touch",1472.625
"46",4,"trackpad","trackpad,pen",2667.875
"47",4,"trackpad","trackpad,touch",2517
"48",4,"trackpad","mouse,trackpad",2611.25
"49",5,"mouse","mouse,trackpad",2327.875
"50",5,"mouse","mouse,touch",2734.375
"51",5,"mouse","mouse,pen",2501.875
"52",5,"pen","trackpad,pen",1989.75
"53",5,"pen","pen,touch",2190.5
"54",5,"pen","mouse,pen",1800
"55",5,"touch","pen,touch",2156.875
"56",5,"touch","trackpad,touch",2129.625
"57",5,"touch","mouse,touch",2243.625
"58",5,"trackpad","trackpad,pen",3771.5
"59",5,"trackpad","trackpad,touch",2752.25
"60",5,"trackpad","mouse,trackpad",3390.5
"61",6,"mouse","mouse,trackpad",3232
"62",6,"mouse","mouse,touch",3355.625
"63",6,"mouse","mouse,pen",3207.75
"64",6,"pen","trackpad,pen",3256.625
"65",6,"pen","pen,touch",2533.875
"66",6,"pen","mouse,pen",2430.625
"67",6,"touch","pen,touch",4017.625
"68",6,"touch","mouse,touch",3038.375
"69",6,"touch","trackpad,touch",3241.875
"70",6,"trackpad","trackpad,pen",4745.375
"71",6,"trackpad","mouse,trackpad",3516.125
"72",6,"trackpad","trackpad,touch",3193.75
"73",7,"mouse","mouse,pen",2311.125
"74",7,"mouse","mouse,touch",2217.625
"75",7,"mouse","mouse,trackpad",2337
"76",7,"pen","trackpad,pen",1509
"77",7,"pen","mouse,pen",1766.5
"78",7,"pen","pen,touch",1822
"79",7,"touch","trackpad,touch",2177.25
"80",7,"touch","pen,touch",1748
"81",7,"touch","mouse,touch",2020.125
"82",7,"trackpad","trackpad,pen",2844.375
"83",7,"trackpad","trackpad,touch",2551.375
"84",7,"trackpad","mouse,trackpad",3038.875
"85",8,"mouse","mouse,pen",3562.5
"86",8,"mouse","mouse,trackpad",4392.75
"87",8,"mouse","mouse,touch",3505.75
"88",8,"pen","trackpad,pen",2333.375
"89",8,"pen","mouse,pen",2741.25
"90",8,"pen","pen,touch",2393.375
"91",8,"touch","mouse,touch",2816.125
"92",8,"touch","pen,touch",2827
"93",8,"touch","trackpad,touch",2906.75
"94",8,"trackpad","trackpad,pen",3561.125
"95",8,"trackpad","mouse,trackpad",4307.75
"96",8,"trackpad","trackpad,touch",4496.5
"97",9,"mouse","mouse,trackpad",2185.5
"98",9,"mouse","mouse,touch",2509.25
"99",9,"mouse","mouse,pen",2794.75
"100",9,"pen","trackpad,pen",1894.75
"101",9,"pen","pen,touch",2240.875
"102",9,"pen","mouse,pen",2511.375
"103",9,"touch","pen,touch",2699.875
"104",9,"touch","trackpad,touch",2666.25
"105",9,"touch","mouse,touch",2333
"106",9,"trackpad","trackpad,pen",4073.625
"107",9,"trackpad","trackpad,touch",3662.625
"108",9,"trackpad","mouse,trackpad",3471.25
"109",10,"mouse","mouse,pen",2908
"110",10,"mouse","mouse,trackpad",2071.25
"111",10,"mouse","mouse,touch",2122.875
"112",10,"pen","trackpad,pen",1578.75
"113",10,"pen","mouse,pen",1712.625
"114",10,"pen","pen,touch",1850.25
"115",10,"touch","mouse,touch",1997.875
"116",10,"touch","pen,touch",2203.75
"117",10,"touch","trackpad,touch",2083.625
"118",10,"trackpad","trackpad,pen",3614.75
"119",10,"trackpad","mouse,trackpad",2399.625
"120",10,"trackpad","trackpad,touch",2485
"121",11,"mouse","mouse,trackpad",3381.125
"122",11,"mouse","mouse,pen",3100.25
"123",11,"mouse","mouse,touch",3711.125
"124",11,"pen","trackpad,pen",2565.5
"125",11,"pen","pen,touch",2940.125
"126",11,"pen","mouse,pen",2296
"127",11,"touch","pen,touch",3228.875
"128",11,"touch","trackpad,touch",2919.875
"129",11,"touch","mouse,touch",2414.625
"130",11,"trackpad","trackpad,pen",3800.375
"131",11,"trackpad","mouse,trackpad",3782.125
"132",11,"trackpad","trackpad,touch",3355.875
"133",12,"mouse","mouse,pen",2712.75
"134",12,"mouse","mouse,touch",2918
"135",12,"mouse","mouse,trackpad",2501.5
"136",12,"pen","trackpad,pen",2686.875
"137",12,"pen","mouse,pen",2297.125
"138",12,"pen","pen,touch",2193.125
"139",12,"touch","trackpad,touch",2724.5
"140",12,"touch","pen,touch",2330.25
"141",12,"touch","mouse,touch",2333.5
"142",12,"trackpad","trackpad,pen",4956.125
"143",12,"trackpad","trackpad,touch",3817.125
"144",12,"trackpad","mouse,trackpad",3395.5
